"time","oxy"
0,7.99373546189258
1,8.00083643324222
2,7.9896437138759
3,8.01295280802138
4,7.99929507771815
5,7.98679531615882
6,7.99887429052428
7,8.00038324705129
8,7.99775781351654
9,7.98794611612844
10,8.00511781168451
11,7.99289843236411
12,7.98178759419458
13,7.96485300112823
14,7.99724930918143
15,7.98455066390985
16,7.98383809736901
17,7.99243836210685
18,7.99021221195098
19,7.98693901321217
20,7.98918977371608
21,7.98682136300731
22,7.97874564983365
23,7.95710648304137
24,7.98219825747895
25,7.97443871260471
26,7.97244204493295
27,7.95829247616101
28,7.96721849944891
29,7.975179415602
30,7.98358679551529
31,7.96797212272657
32,7.97187671611559
33,7.96646194959417
34,7.95222940443171
35,7.960850054367
36,7.9600571004629
37,7.96240686603289
38,7.97300025371984
39,7.96863175748458
40,7.95835476403746
41,7.95646638319863
42,7.96496963375405
43,7.96256663198674
44,7.94911244305451
45,7.94792504843038
46,7.95764581962137
47,7.96068532924515
48,7.9508765378785
49,7.95981107726454
50,7.95398105880367
51,7.94287973606749
52,7.95141119691424
53,7.93570636903919
54,7.96033023701701
55,7.96480399898506
56,7.94032778523533
57,7.93255865373683
58,7.94769719627442
59,7.93964945396119
60,7.96401617760505
61,7.93860759997267
62,7.94489739362451
63,7.93728002158781
64,7.92856726791118
65,7.93688792299514
66,7.91595041371109
67,7.94765554861563
68,7.93353253338212
69,7.95272611670362
70,7.934755095289
71,7.92190053569078
72,7.93410726353489
73,7.91765902368356
74,7.91346366599761
75,7.92791446235517
76,7.91956708126782
77,7.92301105351632
78,7.92274341324152
79,7.91510479053812
80,7.91431331267181
81,7.91764821384876
82,7.92978086996573
83,7.9017643319957
84,7.92193946187628
85,7.91832950371214
86,7.92463099837276
87,7.90995816076366
88,7.91570018809916
89,7.91367098790772
90,7.90457479969008
91,7.92107867805983
92,7.91960402615695
93,7.91400213649515
94,7.92186833454541
95,7.91058486425565
96,7.89123407791542
97,7.89726734585763
98,7.88975387385102
99,7.89626599363561
100,7.89379633322776
101,7.89942115873144
102,7.88889078351448
103,7.89858028772404
104,7.88945415356081
105,7.91267287269373
106,7.90116707476017
107,7.90210174229495
108,7.89584185357826
109,7.90782176080519
110,7.88364263546051
111,7.8843835526964
112,7.90232282238542
113,7.8804930364669
114,7.88392619256398
115,7.88107192070558
116,7.88080007131451
117,7.88020886697023
118,7.88694188331268
119,7.8792266951773
120,7.87494042537886
121,7.8924303882517
122,7.87585420591453
123,7.87520443469957
124,7.87499809258787
125,7.88212666307051
126,7.87326435595874
127,7.87262365828533
128,7.86518339521244
129,7.86775729727754
130,7.87060160440434
131,7.8631110551374
132,7.87331496192633
133,7.85181605918213
134,7.8690655786079
135,7.84963550176462
136,7.86099023873163
137,7.85771720095555
138,7.85547905219319
139,7.86043103222153
140,7.8408564057432
141,7.87076583312019
142,7.84135027563788
143,7.85236469598528
144,7.84484079894957
145,7.84749180998807
146,7.87487166545628
147,7.85317395619693
148,7.83913699469566
149,7.83459394465581
150,7.85450187101273
151,7.84881440167285
152,7.84481931625456
153,7.83770637852546
154,7.83112539689859
155,7.83424807703384
156,7.85400028803714
157,7.83678733305203
158,7.82815573152615
159,7.85969290622424
160,7.84425100377372
161,7.83661352899087
162,7.84858483048709
163,7.84586422651375
164,7.82980756951769
165,7.8570610246454
166,7.83144972969859
167,7.81875505349787
168,7.83055600398046
169,7.83307538339232
170,7.85307978399059
171,7.83005802367894
172,7.83256998805423
173,7.82622847064643
174,7.82265999157633
175,7.82465273971689
176,7.8318763960563
177,7.84375245008652
